n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,49,1,standard,0.2,1.0,0.05,5000,1.0,1.0,42
2,50,1,standard,0.2,1.0,0.05,5000,1.0,1.0,4
2,51,1,standard,0.2,1.0,0.05,5000,1.0,1.0,2
2,52,1,standard,0.2,1.0,0.05,5000,1.0,1.0,9
2,53,1,standard,0.2,1.0,0.05,5000,1.0,1.0,16
2,54,1,standard,0.2,1.0,0.05,5000,1.0,1.0,10
2,55,1,standard,0.2,1.0,0.05,5000,1.0,1.0,15
2,56,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,57,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,58,1,standard,0.2,1.0,0.05,5000,1.0,1.0,27
2,59,1,standard,0.2,1.0,0.05,5000,1.0,1.0,11
2,60,1,standard,0.2,1.0,0.05,5000,1.0,1.0,15
2,61,1,standard,0.2,1.0,0.05,5000,1.0,1.0,17
2,62,1,standard,0.2,1.0,0.05,5000,1.0,1.0,14
2,63,1,standard,0.2,1.0,0.05,5000,1.0,1.0,6
2,64,1,standard,0.2,1.0,0.05,5000,1.0,1.0,4
2,65,1,standard,0.2,1.0,0.05,5000,1.0,1.0,14
2,66,1,standard,0.2,1.0,0.05,5000,1.0,1.0,20
2,67,1,standard,0.2,1.0,0.05,5000,1.0,1.0,10
2,68,1,standard,0.2,1.0,0.05,5000,1.0,1.0,12
2,69,1,standard,0.2,1.0,0.05,5000,1.0,1.0,10
2,70,1,standard,0.2,1.0,0.05,5000,1.0,1.0,6
2,71,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,72,1,standard,0.2,1.0,0.05,5000,1.0,1.0,37
2,73,1,standard,0.2,1.0,0.05,5000,1.0,1.0,1
2,74,1,standard,0.2,1.0,0.05,5000,1.0,1.0,3
2,75,1,standard,0.2,1.0,0.05,5000,1.0,1.0,3
2,76,1,standard,0.2,1.0,0.05,5000,1.0,1.0,9
2,77,1,standard,0.2,1.0,0.05,5000,1.0,1.0,4
2,78,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,79,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,80,1,standard,0.2,1.0,0.05,5000,1.0,1.0,6
2,81,1,standard,0.2,1.0,0.05,5000,1.0,1.0,4
2,82,1,standard,0.2,1.0,0.05,5000,1.0,1.0,10
2,83,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,84,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,85,1,standard,0.2,1.0,0.05,5000,1.0,1.0,13
2,86,1,standard,0.2,1.0,0.05,5000,1.0,1.0,20
2,87,1,standard,0.2,1.0,0.05,5000,1.0,1.0,6
2,88,1,standard,0.2,1.0,0.05,5000,1.0,1.0,3
2,89,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,90,1,standard,0.2,1.0,0.05,5000,1.0,1.0,16
2,91,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,92,1,standard,0.2,1.0,0.05,5000,1.0,1.0,1
2,93,1,standard,0.2,1.0,0.05,5000,1.0,1.0,20
2,94,1,standard,0.2,1.0,0.05,5000,1.0,1.0,18
2,95,1,standard,0.2,1.0,0.05,5000,1.0,1.0,3
2,96,1,standard,0.2,1.0,0.05,5000,1.0,1.0,11
2,97,1,standard,0.2,1.0,0.05,5000,1.0,1.0,7
2,98,1,standard,0.2,1.0,0.05,5000,1.0,1.0,12
2,99,1,standard,0.2,1.0,0.05,5000,1.0,1.0,21
2,100,1,standard,0.2,1.0,0.05,5000,1.0,1.0,5
2,1,1,standard,0.3,1.0,0.05,5000,1.0,1.0,1
2,2,1,standard,0.3,1.0,0.05,5000,1.0,1.0,9
2,3,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,4,1,standard,0.3,1.0,0.05,5000,1.0,1.0,6
2,5,1,standard,0.3,1.0,0.05,5000,1.0,1.0,9
2,6,1,standard,0.3,1.0,0.05,5000,1.0,1.0,11
2,7,1,standard,0.3,1.0,0.05,5000,1.0,1.0,1
2,8,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,9,1,standard,0.3,1.0,0.05,5000,1.0,1.0,19
2,10,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,11,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,12,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,13,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,14,1,standard,0.3,1.0,0.05,5000,1.0,1.0,20
2,15,1,standard,0.3,1.0,0.05,5000,1.0,1.0,9
2,16,1,standard,0.3,1.0,0.05,5000,1.0,1.0,19
2,17,1,standard,0.3,1.0,0.05,5000,1.0,1.0,13
2,18,1,standard,0.3,1.0,0.05,5000,1.0,1.0,17
2,19,1,standard,0.3,1.0,0.05,5000,1.0,1.0,7
2,20,1,standard,0.3,1.0,0.05,5000,1.0,1.0,9
2,21,1,standard,0.3,1.0,0.05,5000,1.0,1.0,13
2,22,1,standard,0.3,1.0,0.05,5000,1.0,1.0,11
2,23,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,24,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,25,1,standard,0.3,1.0,0.05,5000,1.0,1.0,7
2,26,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,27,1,standard,0.3,1.0,0.05,5000,1.0,1.0,10
2,28,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,29,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,30,1,standard,0.3,1.0,0.05,5000,1.0,1.0,6
2,31,1,standard,0.3,1.0,0.05,5000,1.0,1.0,9
2,32,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,33,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,34,1,standard,0.3,1.0,0.05,5000,1.0,1.0,11
2,35,1,standard,0.3,1.0,0.05,5000,1.0,1.0,7
2,36,1,standard,0.3,1.0,0.05,5000,1.0,1.0,3
2,37,1,standard,0.3,1.0,0.05,5000,1.0,1.0,7
2,38,1,standard,0.3,1.0,0.05,5000,1.0,1.0,16
2,39,1,standard,0.3,1.0,0.05,5000,1.0,1.0,16
2,40,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,41,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,42,1,standard,0.3,1.0,0.05,5000,1.0,1.0,6
2,43,1,standard,0.3,1.0,0.05,5000,1.0,1.0,7
2,44,1,standard,0.3,1.0,0.05,5000,1.0,1.0,13
2,45,1,standard,0.3,1.0,0.05,5000,1.0,1.0,11
2,46,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,47,1,standard,0.3,1.0,0.05,5000,1.0,1.0,17
2,48,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,49,1,standard,0.3,1.0,0.05,5000,1.0,1.0,19
