n,effort_row,rep,estimator,p,α,χ,h,a,r,t
4,4,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,3031
4,5,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,2536
4,6,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1812
4,7,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1039
4,8,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,3508
4,9,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,2530
4,10,1,heuristic,1.0,1.0,0.05,20000,1.0,1.0,1397
2,1,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,20
2,2,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,18
2,3,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,29
2,4,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,28
2,5,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,79
2,6,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,23
2,7,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,55
2,8,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,26
2,9,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,35
2,10,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,17
3,1,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,44
3,2,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,150
3,3,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,150
3,4,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,94
3,5,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,85
3,6,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,107
3,7,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,66
3,8,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,874
3,9,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,832
3,10,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,24
4,1,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,435
4,2,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,327
4,3,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,487
4,4,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,484
4,5,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,332
4,6,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,470
4,7,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,327
4,8,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,3980
4,9,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,2658
4,10,1,bayesian,1.0,1.0,0.05,20000,1.0,1.0,28
